"","name","year","genre","ratings","synopsis","runtime"
"1","Jai Bhim","(2021)","
Crime, Drama, Mystery            ","9.5","
When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","164 min"
"2","Aynabaji","(2016)","
Crime, Mystery, Thriller            ","9.3","
Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
","147 min"
"3","Sen to Chihiro no kamikakushi","(2001)","
Animation, Adventure, Family            ","8.6","
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","125 min"
"4","The Green Mile","(1999)","
Crime, Drama, Fantasy            ","8.6","
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","189 min"
"5","Se7en","(1995)","
Crime, Drama, Mystery            ","8.6","
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","127 min"
"6","Seppuku","(1962)","
Action, Drama, Mystery            ","8.6","
When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","133 min"
"7","Ratsasan","(2018)","
Crime, Drama, Mystery            ","8.5","
A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.","170 min"
"8","The Prestige","(2006)","
Drama, Mystery, Thriller            ","8.5","
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","130 min"
"9","Memento","(2000)","
Mystery, Thriller            ","8.5","
A man with short-term memory loss attempts to track down his wife's murderer.","113 min"
"10","The Usual Suspects","(1995)","
Crime, Drama, Mystery            ","8.5","
A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","106 min"
"11","Apocalypse Now","(1979)","
Drama, Mystery, War            ","8.5","
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.","147 min"
"12","Psycho","(1960)","
Horror, Mystery, Thriller            ","8.5","
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","109 min"
"13","Rear Window","(1954)","
Mystery, Thriller            ","8.5","
A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","112 min"
"14","Coco","(I) (2017)","
Animation, Adventure, Comedy            ","8.4","
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","105 min"
"15","The Lives of Others","(2006)","
Drama, Mystery, Thriller            ","8.4","
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","137 min"
"16","Oldeuboi","(2003)","
Action, Drama, Mystery            ","8.4","
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","101 min"
"17","Tengoku to jigoku","(1963)","
Crime, Drama, Mystery            ","8.4","
An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.","143 min"
"18","Witness for the Prosecution","(1957)","
Crime, Drama, Mystery            ","8.4","
A veteran British barrister must defend his client in a murder trial that has surprise after surprise.","116 min"
"19","The Blue Elephant","(2014)","
Drama, Horror, Mystery            ","8.3","
The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying ...                See full summary »
","170 min"
"20","Incendies","(2010)","
Drama, Mystery, War            ","8.3","
Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.","131 min"
"21","The Father","(I) (2020)","
Drama, Mystery            ","8.3","
A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","97 min"
"22","L.A. Confidential","(1997)","
Crime, Drama, Mystery            ","8.3","
As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","138 min"
"23","North by Northwest","(1959)","
Adventure, Mystery, Thriller            ","8.3","
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","136 min"
"24","Vertigo","(1958)","
Mystery, Romance, Thriller            ","8.3","
A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","128 min"
"25","Double Indemnity","(1944)","
Crime, Drama, Film-Noir            ","8.3","
A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","107 min"
"26","Citizen Kane","(1941)","
Drama, Mystery            ","8.3","
Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","119 min"
"27","M - Eine Stadt sucht einen Mörder","(1931)","
Crime, Mystery, Thriller            ","8.3","
When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","117 min"
"28","Andhadhun","(2018)","
Comedy, Crime, Music            ","8.2","
A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","139 min"
"29","Drishyam","(2015)","
Crime, Drama, Mystery            ","8.2","
Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","163 min"
"30","El secreto de sus ojos","(2009)","
Drama, Mystery, Romance            ","8.2","
A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.","129 min"
"31","Harry Potter and the Deathly Hallows: Part 2","(2011)","
Adventure, Fantasy, Mystery            ","8.2","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","130 min"
"32","Shutter Island","(2010)","
Mystery, Thriller            ","8.2","
In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","138 min"
"33","Article 15","(2019)","
Crime, Drama, Mystery            ","8.2","
In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.","130 min"
"34","The Sixth Sense","(1999)","
Drama, Mystery, Thriller            ","8.2","
A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","107 min"
"35","The Thing","(1982)","
Horror, Mystery, Sci-Fi            ","8.2","
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.","109 min"
"36","Chinatown","(1974)","
Drama, Mystery, Thriller            ","8.2","
A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","130 min"
